H,title,date,author,article_id,content,link,attachments,university,department,category
,2025학년도 1학기 재학생 등록금 4차(최종) 분할납부 기간 안내,2025.05.13,컴퓨터공학과,525759,"1. 납부대상: 4차 분할납부 대상자2. 납부 일정차수납부기간수납기관비 고수납은행신용카드4차(분할납부)‘25. 5. 19.(월) 09시~ 21.(수) 17시신한-• 학교 홈페이지 일정 게시 (공지사항)• K-피드, SMS 알림 3. 납부 방법 - 고지서 : 고지서 출력 후 은행 방문하여 납부 - 인터넷뱅킹 : 은행 홈페이지에서 가상계좌로 납부 (카드결제 불가)4. 기타사항 - ‘분납’ 항목의 분수는「납부횟수/신청횟수」 - 회차별 고지금액이 다를 수 있으므로 고지서 신규 출력 후 납부",https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=view&articleNo=525759&article.offset=0&articleLimit=10,[],강원대학교 IT대학,컴퓨터공학과,학부 공지사항
,2025학년도 재학생(1~4학년) 강원대학교 핵심역량 진단(KCCA) 시행 안내,2025.04.16,컴퓨터공학과,501724,"교육혁신본부에서는 재학생의 핵심역량을 진단하고 결과 분석을 통해 수요자 중심 교수․학습 프로그램 개발 기초자료 활용 등 대학 교육의 질 관리를 위해 『2025학년도 강원대학교 핵심 역량 진단(KCCA)』을 시행하고 있습니다.2025학년도 강원대학교 핵심역량진단(KCCA)에 참여하지 않은 학생은 2025년 비교과마일리지 장학금(최대 금500,000원) 지급 대상에서 제외되므로 적극적으로 참여 바랍니다.가. 조 사 명: 강원대학교 핵심역량 진단(KCCA)나. 목 적: 실사구시형 창의·협동 인재양성을 위해 갖춰야할 5대 핵심역량 진단 다. 시행기간: 2025. 4. 15.(화) ~ 2025. 12. 31.(수)라. 대 상: 1~4학년 학부생(재학생)마. 내 용: 강원대학교 5대 핵심역량(미래, 창의, 인성, 협동, 실천) 관련 설문바. 참여방법 1) K-Cloud 로그인 > One-Stop 서비스 > 핵심역량 설문조사 > 설문참여 2) 강원대학교 APP > 전체메뉴 > 공통서비스 > 설문참여붙임 1. 2025학년도 재학생(1~4학년) 강원대학교 핵심역량 진단(KCCA) 안내 1부. 2. 2025학년도 재학생(1~4학년) 강원대학교 핵심역량 진단(KCCA) 홍보 자료 1부. 끝.",https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=view&articleNo=501724&article.offset=0&articleLimit=10,"['https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=download&articleNo=501724&attachNo=537931', 'https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=download&articleNo=501724&attachNo=537932']",강원대학교 IT대학,컴퓨터공학과,학부 공지사항
,2025학년도 학생 대상 e-루리 폭력예방교육(법정의무교육) 수강 안내,2025.04.07,컴퓨터공학과,483584,「고등교육법」제2조에 따른 학교의 모든 학생은 관련 법령에 따라 폭력예방교육(법정교육)을 이수하도록 규정되어 있습니다.아래 내용 확인하시고 우리 학과 모든 재학생 여러분의 수강 바랍니다.1. 관련 규정 가. 성폭력방지 및 피해자보호 등에 관한 법률 제5조 나. 가정폭력방지 및 피해자보호 등에 관한 법률 제4조의3 다. 양성평등기본법 제31조 라. 성매매방지 및 피해자보호 등에 관한 법률 제5조2. 수강 방법 가. 교육대상: 강원대학교 소속 모든 학생(대학원생 포함) 나. 교육방법: 온라인 교육 1) 수강방법: 강원대학교 스마트캠퍼스 e-루리(https://eruri.kangwon.ac.kr/) KNU-MOOC → 강좌목록 → 2025 인권·성평등(성희롱·성폭력·성매매·가정폭력 예방) 학생 교육 → 수강신청 → 강의실 이동 → 동영상 클릭하여 강의 수강 → 형성평가 실시 → 수강완료 2) 교육시간: 학생 성폭력·가정폭력 예방교육 각 2시간 3) 러닝타임: 60분(수료증 2시간 이수 표시) 4) 교육기간: 2025. 12. 31.까지,https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=view&articleNo=483584&article.offset=0&articleLimit=10,[],강원대학교 IT대학,컴퓨터공학과,학부 공지사항
,2025년도 학생‧교직원 대상 장애인식개선교육(법정의무교육) 수강 안내,2025.04.01,컴퓨터공학과,477622,"2025년도 학생‧교직원 대상 장애인식개선교육(법정의무교육) 수강을 다음과 같이 안내하오니, 2025. 12. 31.(수)까지 꼭 이수하여 주시기 바랍니다. 가. 교육대상: 재학 중인 전체 대학생 및 대학원생 나. 교육방법: 강원대학교 스마트캠퍼스 e-루리(https://eruri.kangwon.ac.kr/)대상학생주 제장애에 대해 잘 아는 우리교육시간49분수강방법KNU-MOOC → 강좌목록 → 2025년 장애인식개선교육(학생) → 수강신청 → 강의실 이동 → 동영상 클릭하여 강의 수강 → 설문조사 → 수강완료",https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=view&articleNo=477622&article.offset=0&articleLimit=10,[],강원대학교 IT대학,컴퓨터공학과,학부 공지사항
,[4학년 확인 필수]컴퓨터공학과 졸업요건 안내,2025.03.19,컴퓨터공학과,474243,"컴퓨터공학과 4학년 학생들이 졸업요건에 관하여 자주 문의하는 내용을 다음과 같이 안내합니다. 1,2,3 요건을 각각 모두 충족해야 하니 미리 준비하여 졸업에 문제 없기 바랍니다. 1. 졸업학점 취득 : 교육과정에 맞게 영역별 이수학점을 모두 충족해야 함. * 교육과정 이수 방법 안내 공지사항 확인 2. 산학협력프로젝트(캡스톤) 참여 ① 컴퓨터공학과 4학년 재학생 모두 필수로 참여해야 함(~2014학번은 필수 제외) ② 참여 실적 필수 요건 충족해야 함(팀별 보고서 제출 등) ③ 캡스톤디자인 과목은 전선이므로 반드시 수강해야 하는 것은 아님(선택적 수강) 3. 졸업논문 통과 : ①~④ 중 택 1 충족 ① 참여한 캡스톤 프로젝트 주제로 개인결과보고서 제출 ② 정보처리기사 취득 및 제출 ③ 학술대회 발표 논문 제출 ④ 졸업시험 통과 ⑤ 각 항목별 요건은 졸업논문 학과 규정(첨부파일) 참조",https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=view&articleNo=474243&article.offset=0&articleLimit=10,['https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=download&articleNo=474243&attachNo=533339'],강원대학교 IT대학,컴퓨터공학과,학부 공지사항
,2025학년도 1학기 조기취업ㆍ창업자 출석인정 및 성적 처리 요령  안내,2025.03.04,컴퓨터공학과,470471,"조기취업/창업자에 대한 출석인정 및 성적처리 요령을 붙임과 같이 안내하니 절차에 따라 신청하시기 바랍니다.* 2025-1학기 개강 후 수강신청 확정된 이후 신청 가능 가. 신청대상 - 학부 재학 7개 학기 이상(5년제는 9개 학기 이상) 등록자 중 조기 취 ․ 창업한 자, 채용을 조건으로 연수 과정 참여 중인 자 또는 공채합격자 중 연수(교육) 대상자 * 조기졸업 예정자는 최종학기에 한하여 신청 가능 ※1 조기창업자: 중소기업창업지원법 제2조에 해당하고 KNU창업진흥원 승인을 받은 학생에 한정한다. ▸ KNU창업진흥원 담당자: 김향회(033-250-8967), 윤승욱(033-250-8968)※2 출석인정 제외자 ▸ 1년 미만 단기간 취업자, 단순 경험/체험형 인턴 ▸ 직계존속 등 가족 운영 사업장의 취업자(가족회사), 프리랜서, 자영업자, 아르바이트성 취업은 인정 불가 나. 신청시기: 해당 학기 취 ․ 창업 확정 후 즉시 신청 ※ 지연신청에 따른 불이익은 학생 본인에게 있음 다. 인정기간: 해당 학기 실제 취 ․ 창업한 기간에 한하여 출석인정 라. 인정학점: 21학점(전체 졸업학점의 1/6까지,소수점 버림) 마. 신청절차 등 기타 안내사항: [붙임1] 참조 - 강의담당교원의 서명(날인)을 직접 받기 힘든 경우 담당교원 승인 회신 이메일을 첨부하여 신청 가능붙임 1. 조기취 ․ 창업자 출석인정 및 성적처리 요령 안내 1부 2. 관련 규정 및 지침 1부 3. 조기취 ․ 창업자 출석인정 신청서 및 확인서 서식 각 1부. 끝.",https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=view&articleNo=470471&article.offset=0&articleLimit=10,"['https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=download&articleNo=470471&attachNo=529500', 'https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=download&articleNo=470471&attachNo=529501', 'https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=download&articleNo=470471&attachNo=529502']",강원대학교 IT대학,컴퓨터공학과,학부 공지사항
,2025학년도 학교경영자배상책임보험 가입 및 청구 안내,2025.02.19,컴퓨터공학과,469251,"2025학년도 학교경영자배상책임보험 가입내역을 안내하오니, 보험금 청구 사유 발생 시 제출서류를 작성하여 나래관 2층 학생과로 제출하여 주시기 바랍니다. 가. 보험계약기간: 2025. 3. 1. 00:00부터 2026. 2. 28. 24:00까지 나. 피보험자 대상: 춘천캠퍼스 재학생(학부, 대학원생) 다. 특약사항: 신입생과 복학생은 본교 재학생이 되는 시기부터 피보험자 지위 취득 라. 보장범위 보장내용보상 한도액비고학부, 대학원생배상책임(대인) 1인당2억원자기부담금 10만원1사고당20억원배상책임(대물)1사고당1천만원자기부담금 10만원교내·외 치료비1인당, 1사고당3백만원자기부담금 10만원학교생활 중 상해사망후유장해1인당1천만원-신입생 (O.T.)교내·외 치료비1인당, 1사고당3백만원2026년 2월 중 1일간상해사망후유장해1인당1억원 ※ 배상책임(대인,대물) 및 교내·외 치료비는 자기부담금 10만원 공제 후 보험금이 지급되며, 청구 금액이 10만원 미만인 사고에 대해서는 보험금을 지급하지 않습니다. 4. 치료 가능 기간: 사고발생일로부터 180일 이내5. 보험료청구기간: 사고발생일로부터 3년 이내6. 제출서류: ①개인정보처리 동의서 ②사고경위서 ③교외 사고 발생시 학교 행사 관련 공문 및 참가자명단 ④진단서 ⑤초진 차트(50만원 이상시 필수, 그 외 필요에 따라 요청 가능) ⑥진료비 세부내역서(병원 발급용) ⑦입·퇴원 확인서 ⑧MRI비용 청구시 의사소견서 ⑨재학증명서 ⑩신분증 사본 ⑪학생 본인 통장 사본7. 보험관련문의: 학생과 033-250-6032붙임 1. 2025학년도 학교경영자배상책임보험 가입 내역 안내문 1부. 2. 보험금 청구 서식 각 1부. 끝.",https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=view&articleNo=469251&article.offset=0&articleLimit=10,"['https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=download&articleNo=469251&attachNo=527963', 'https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=download&articleNo=469251&attachNo=527964', 'https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=download&articleNo=469251&attachNo=527965']",강원대학교 IT대학,컴퓨터공학과,학부 공지사항
,컴퓨터공학과 학생활동실(공6호관 603호) 사용 안내,2024.08.27,컴퓨터공학과,453318,"학업능력 향상과 면학 분위기 조성을 위하여 컴퓨터공학과 재학생을 대상으로 다음과 같이 학생활동실을 개방하고자 합니다.1. 위치 : 공학6호관 603호 학생활동실2. 수용인원 : 최대 9명까지3. 개방시간 : 평일 9시~ 18시(공휴일 및 공식휴강일은 예약 불가), 팀당 3시간 이내4. 신청방법: 학생회실 플러스톡 1:1 채팅 신청5. 문의 : 컴퓨터공학과 학생회‘EPI:C’ 학생회에서 컴퓨터공학과 학우분들의 학생활동실 이용에 관련하여 알려드립니다.-카카오톡 채널-http://pf.kakao.com/_xoKwGn-이용 안내-1. 학생활동실 이용 가능 시간은 평일 오전 9시 ~ 오후 6시입니다. (주말과 월요일 오후 6-9시는 제한됩니다.)2. 학생활동실 대여팀 별 최대 3시간까지 이용 가능합니다.3. 학생활동실 이용 후 퇴실 시 정리정돈 및 전열기구 등을 꼭 종료해주시기 바랍니다.-대여 방법-대여할 팀의 대표자가 대표자 및 팀원들의1. 학번2. 이름3. 사용시간4. 사용날짜를 작성하여 1:1 채팅으로 남겨주시면 대여 가능 여부를 알려드립니다.",https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=view&articleNo=453318&article.offset=0&articleLimit=10,[],강원대학교 IT대학,컴퓨터공학과,학부 공지사항
,공결처리 관련사항 안내[유의사항 확인!],2023.09.11,컴퓨터공학과,422496,"공결은 ‘ 공식적인 ’ 사유로 수업에 참석하지 못하는 경우 증빙서류를 첨부하여 학과장의 승인을 얻는 경우에만 가능합니다 . 학사운영규정에서 정하고 있는 공결인정 사유 발생 시, 첨부파일 참고하여 공결신청서와 증빙서류를 학과에 제출바라며,공결확인서를 발급받은 후 수강과목 담당 교수님께 제출하기 바랍니다.* 유의사항: 공결도 결석일수 계산에는 포함되며, 공결을 포함한 결석일 수가 수업일수의 1/3을 초과하는 경우 ""F"" 또는 ""부"" 성적 부여(단 조기취업,창업자 제외) - 공결 : 공결 사유로 인하여 수업에 미참여(결석)한 것으로 출석부에‘공결’로 표기하며 출석점수 평가 시에만 출석으로 인정(수업일수 3분의 1 까지만 공결 인정) - 따라서 학칙에 의거 수업시간의 3분의 1을 초과하여 결석(공결포함)하는 경우 출석미달로 인하여 F 또는 부 등급을 부여받으므로 결석일 수 관리에 유의하여야 함 ※ 원격수업(이러닝)은 공결 신청 불가1. 관련 규정학사운영규정 제27조(공결) ① 제26조제1항에 의하여 출석을 점검한 결과 결석임에도 불구하고, 다음 각호의 어느 하나에 해당하는 경우 출석한 것으로 인정한다. 1. 「병역법」및 「예비군법」 등 관계 법령에 따라 병역 동원 또는 훈련 등을 위하여 소집(병역판정을 위한 신체검사를 포함한다)된 경우 2. 다음 각 목에 해당하는 각종 공식행사에 총장이 허가하여 참가하는 경우 가. 체육특기자가 학교대표로 참가하는 전국규모 대회 나. 국내·외 각종 학술대회, 교류행사 등 3. 학교 밖 수업 등에 따라 다른 교과목의 수업에 출석하기 어려운 경우(다만, 학교 밖 수업 등을 운영하는 교과목의 담당 학부·학과의 장이 요청하는 경우에 한한다) 4. 「감염병의 예방 및 관리에 관한 법률」에 따라 감염병 관리 시설에 입원하는 등의 사유로 출석하기 어려운 경우 5. 다음 각 목에 해당하는 경조사로 출석하기 어려운 경우 가. 본인의 결혼 : 5일 나. 본인의 직계존속 또는 비속의 결혼 : 1일 다. 본인의 출산 : 20일 라. 본인 배우자의 출산 : 10일 마. 본인이 자녀를 입양하는 경우 : 20일 바. 배우자, 본인 또는 배우자의 부모가 사망한 경우 : 5일 사. 본인 또는 배우자의 조부모 및 외조부모가 사망한 경우 : 3일 아. 본인의 자녀 또는 그 자녀의 배우자가 사망한 경우 : 3일 자. 본인 또는 배우자의 형제자매가 사망한 경우 : 1일 6. 취업을 위한 채용시험 응시 및 면접 등에 참석하는 경우 7. 학기 당 4일 이내(월 1일에 한함)의 생리 공결의 경우. 다만, 시험 또는 각종 평가 시에는 출석으로 인정하지 않는다. 8. 기타 상당한 이유로 학부·학과의 장이 인정하는 경우 ② 제1항에 따라 공결로 인정받고자 하는 학생은 지침에서 정한 절차와 방법에 따라 학부·학과의 장 또는 부서장으로부터 승인을 받아야 한다. ③ 그 밖에 공결에 관한 사항은 지침으로 정한다.2. 신청 절차 및 증빙서류 : 사유 발생 5일 이내 학과사무실로 제출(사유별 증빙서류는 첨부파일 확인) (* 생리공결 증빙서류 추가됨)3. 관련 문의 : 학과사무실(033-250-6380 / 8440, ece@kangwon.ac.kr)",https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=view&articleNo=422496&article.offset=0&articleLimit=10,"['https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=download&articleNo=422496&attachNo=453747', 'https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=download&articleNo=422496&attachNo=481939', 'https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=download&articleNo=422496&attachNo=514871']",강원대학교 IT대학,컴퓨터공학과,학부 공지사항
,AI/빅데이터 오픈 협업 라운지(공6호관 419호) 이용 안내,2022.09.06,컴퓨터공학과,386730,"AI/빅데이터 라운지(공대 6호관 419호)를 재학생을 위한 자율 학습 공간으로 다음과 같이 개방하오니 이용 바랍니다.1. 개방시간: 학기 중 평일 09:30~17:30 * 방학에는 운영 안함2. 이용대상: 컴퓨터공학과 재학생3. 이용지침 - 방명록 작성(필요 시 학생증 또는 KNU 어플을 통한 본인 확인) - 음료 및 음식물 반입 금지 - 소음, 소란 행위 금지 - 학과 또는 SW사업단 학술 행사 목적 이용 시 이용 제한될 수 있음",https://cse.kangwon.ac.kr/cse/community/undergraduate-notice.do?mode=view&articleNo=386730&article.offset=0&articleLimit=10,[],강원대학교 IT대학,컴퓨터공학과,학부 공지사항
